<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCP_PB,D,20170816,000000,6.36503,6.36503,6.36503,6.36503,0,0
SCP_PB,D,20170817,000000,6.35075,6.35075,5.38744,5.55869,0,0
SCP_PB,D,20170818,000000,5.55869,5.55869,5.25186,5.55869,0,0
SCP_PB,D,20170821,000000,5.55869,5.91548,5.55869,5.89407,0,0
SCP_PB,D,20170822,000000,5.94402,5.94402,1.3201,1.3201,0,0
SCP_PB,D,20170823,000000,1.3201,1.3201,1.3201,1.3201,0,0
SCP_PB,D,20170824,000000,1.3201,1.3201,1.09176,1.18452,0,0
SCP_PB,D,20170825,000000,1.22734,1.29869,1.13457,1.18452,0,0
SCP_PB,D,20170828,000000,1.21307,1.21307,1.16312,1.17739,0,0
SCP_PB,D,20170829,000000,1.17739,1.17739,1.1203,1.16312,0,0
SCP_PB,D,20170830,000000,1.17739,1.17739,1.09176,1.17739,0,0
SCP_PB,D,20170831,000000,1.17739,1.25588,1.09176,1.25588,0,0
SCP_PB,D,20170901,000000,1.19166,1.21307,1.19166,1.21307,0,0
SCP_PB,D,20170904,000000,1.21307,1.22734,1.21307,1.22734,0,0
SCP_PB,D,20170905,000000,1.22734,1.22734,1.22734,1.22734,0,0
SCP_PB,D,20170906,000000,1.22734,1.22734,1.2202,1.2202,0,0
SCP_PB,D,20170907,000000,1.25588,1.25588,1.25588,1.25588,0,0
SCP_PB,D,20170908,000000,1.25588,1.25588,1.24161,1.24161,0,0
SCP_PB,D,20170911,000000,1.24161,1.24161,1.18452,1.24161,0,0
SCP_PB,D,20170912,000000,1.24161,1.24161,1.24161,1.24161,0,0
SCP_PB,D,20170913,000000,1.24161,1.42714,1.18452,1.42714,0,0
SCP_PB,D,20170914,000000,1.42714,1.42714,1.42714,1.42714,0,0
SCP_PB,D,20170915,000000,1.42714,1.42714,1.42714,1.42714,0,0
SCP_PB,D,20170918,000000,1.42714,1.42714,1.36291,1.36291,0,0
SCP_PB,D,20170919,000000,1.42714,1.42714,1.42714,1.42714,0,0
SCP_PB,D,20170920,000000,1.42714,1.42714,1.42714,1.42714,0,0
SCP_PB,D,20170921,000000,1.42714,1.42714,1.30583,1.42714,0,0
SCP_PB,D,20170922,000000,1.42714,1.42714,1.30583,1.42714,0,0
SCP_PB,D,20170925,000000,1.42714,1.42714,1.29156,1.42714,0,0
