<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBS_PE,D,20160405,000000,0.2,0.3,0.2,0.3,0,0
IBS_PE,D,20160413,000000,0.3,0.3,0.2,0.2,0,0
IBS_PE,D,20160414,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160418,000000,0.2,0.3,0.2,0.3,0,0
IBS_PE,D,20160420,000000,0.3,0.3,0.2,0.2,0,0
IBS_PE,D,20160426,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160429,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160502,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160505,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160506,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160510,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160511,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160513,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160516,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160519,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160520,000000,0.2,0.3,0.2,0.3,0,0
IBS_PE,D,20160523,000000,0.3,0.3,0.3,0.3,0,0
IBS_PE,D,20160524,000000,0.3,0.3,0.3,0.3,0,0
IBS_PE,D,20160525,000000,0.3,0.3,0.2,0.2,0,0
IBS_PE,D,20160527,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160624,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160704,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160802,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160804,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160805,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160808,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160810,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160812,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160817,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160819,000000,0.2,0.3,0.2,0.3,0,0
IBS_PE,D,20160824,000000,0.3,0.3,0.3,0.3,0,0
IBS_PE,D,20160901,000000,0.3,0.3,0.2,0.2,0,0
IBS_PE,D,20160905,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160908,000000,0.2,0.3,0.2,0.3,0,0
IBS_PE,D,20160909,000000,0.3,0.3,0.2,0.2,0,0
IBS_PE,D,20160912,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160913,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160921,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20160927,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20161010,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20161019,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170109,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170110,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170213,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170214,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170215,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170216,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170217,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170220,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170221,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170222,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170223,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170224,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170301,000000,0.1,0.1,0.1,0.1,0,0
IBS_PE,D,20170302,000000,0.1,0.2,0.1,0.2,0,0
IBS_PE,D,20170303,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170306,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170307,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170308,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170310,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170314,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20170316,000000,0.2,0.2,0.2,0.2,0,0
IBS_PE,D,20180502,000000,3.1,3.1,3.1,3.1,0,0
IBS_PE,D,20180522,000000,3.2,3.2,3.1,3.1,0,0
IBS_PE,D,20180606,000000,5.6,5.6,5.6,5.6,0,0
IBS_PE,D,20180614,000000,5.5,5.5,5.5,5.5,0,0
IBS_PE,D,20180615,000000,5.1,5.1,5.1,5.1,0,0
IBS_PE,D,20180629,000000,5.1,5.1,5,5,0,0
IBS_PE,D,20180730,000000,4.6,4.6,4.5,4.5,0,0
IBS_PE,D,20180801,000000,4.5,4.5,4.5,4.5,0,0
IBS_PE,D,20180802,000000,4.5,4.5,4.5,4.5,0,0
IBS_PE,D,20180806,000000,4.5,4.5,4.5,4.5,0,0
IBS_PE,D,20180807,000000,4.5,4.5,4.5,4.5,0,0
IBS_PE,D,20180809,000000,4.3,4.3,4.2,4.2,0,0
IBS_PE,D,20180814,000000,4.2,4.2,4.2,4.2,0,0
IBS_PE,D,20180822,000000,4.5,4.6,4.5,4.6,0,0
IBS_PE,D,20180824,000000,5.1,5.1,5,5,0,0
IBS_PE,D,20180827,000000,5,5,5,5,0,0
IBS_PE,D,20180921,000000,4.9,4.9,4.9,4.9,0,0
IBS_PE,D,20181002,000000,19.7,19.7,19.7,19.7,0,0
IBS_PE,D,20181024,000000,16.6,16.6,16.6,16.6,0,0
IBS_PE,D,20181029,000000,16.6,16.6,16.6,16.6,0,0
IBS_PE,D,20181031,000000,15.6,16.6,15.5,15.5,0,0
IBS_PE,D,20181102,000000,14.5,14.5,14.5,14.5,0,0
IBS_PE,D,20181106,000000,14.2,14.2,14.2,14.2,0,0
IBS_PE,D,20181113,000000,14.5,14.5,14.5,14.5,0,0
IBS_PE,D,20181114,000000,15.5,15.5,15.5,15.5,0,0
IBS_PE,D,20200609,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20200610,000000,0.4,0.5,0.4,0.5,0,0
IBS_PE,D,20200617,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20200618,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20200619,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20200622,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20200624,000000,0.6,0.6,0.6,0.6,0,0
IBS_PE,D,20200625,000000,0.7,0.7,0.6,0.6,0,0
IBS_PE,D,20200629,000000,0.7,0.7,0.7,0.7,0,0
IBS_PE,D,20200630,000000,0.7,0.7,0.7,0.7,0,0
IBS_PE,D,20200701,000000,0.7,0.7,0.7,0.7,0,0
IBS_PE,D,20200703,000000,0.7,0.7,0.7,0.7,0,0
IBS_PE,D,20200706,000000,0.7,0.7,0.7,0.7,0,0
IBS_PE,D,20200707,000000,0.8,0.8,0.8,0.8,0,0
IBS_PE,D,20200708,000000,1.1,1.1,1,1,0,0
IBS_PE,D,20200709,000000,0.8,1,0.8,1,0,0
IBS_PE,D,20200713,000000,1,1,1,1,0,0
IBS_PE,D,20200720,000000,1,1,1,1,0,0
IBS_PE,D,20200729,000000,0.9,0.9,0.8,0.8,0,0
IBS_PE,D,20200730,000000,0.9,1.6,0.9,1.6,0,0
IBS_PE,D,20200813,000000,1.2,1.2,1.2,1.2,0,0
IBS_PE,D,20200814,000000,1.2,1.2,1.2,1.2,0,0
IBS_PE,D,20200901,000000,1,1.1,1,1.1,0,0
IBS_PE,D,20200902,000000,1,1,1,1,0,0
IBS_PE,D,20200908,000000,1,1,1,1,0,0
IBS_PE,D,20200914,000000,1,1,1,1,0,0
IBS_PE,D,20200921,000000,1,1,1,1,0,0
IBS_PE,D,20200924,000000,1,1,1,1,0,0
IBS_PE,D,20200928,000000,1,1,1,1,0,0
IBS_PE,D,20200930,000000,1,1,1,1,0,0
IBS_PE,D,20201005,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201020,000000,0.3,0.3,0.3,0.3,0,0
IBS_PE,D,20201022,000000,0.3,0.3,0.3,0.3,0,0
IBS_PE,D,20201105,000000,0.3,0.4,0.3,0.4,0,0
IBS_PE,D,20201106,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201110,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201112,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201116,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201117,000000,0.4,0.5,0.4,0.5,0,0
IBS_PE,D,20201118,000000,0.6,0.6,0.6,0.6,0,0
IBS_PE,D,20201120,000000,0.6,0.6,0.5,0.5,0,0
IBS_PE,D,20201123,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20201124,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20201125,000000,0.4,0.5,0.4,0.4,0,0
IBS_PE,D,20201201,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201204,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201211,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201214,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201217,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201218,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201221,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20201228,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20210105,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20210107,000000,0.4,0.4,0.3,0.3,0,0
IBS_PE,D,20210108,000000,0.3,0.4,0.3,0.4,0,0
IBS_PE,D,20210111,000000,0.4,0.5,0.4,0.5,0,0
IBS_PE,D,20210112,000000,0.5,0.6,0.5,0.5,0,0
IBS_PE,D,20210118,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20210119,000000,0.4,0.5,0.4,0.5,0,0
IBS_PE,D,20210120,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20210128,000000,0.4,0.4,0.4,0.4,0,0
IBS_PE,D,20210129,000000,0.4,0.5,0.4,0.5,0,0
IBS_PE,D,20210201,000000,0.5,0.5,0.5,0.5,0,0
IBS_PE,D,20210203,000000,0.5,0.5,0.4,0.4,0,0
IBS_PE,D,20210204,000000,0.4,0.5,0.4,0.5,0,0
